Position, Position error, Orientation error, Joint error
[0.3 0.4 0. ], [ 0.001  0.023 -0.003], [ 0.005 -0.006  0.006 -0.006], [ 0.029  0.014 -0.002  0.014 -0.001  0.008  0.025 -0.     0.   ]
[0.4 0.4 0. ], [ 0.003  0.026 -0.005], [ 0.004 -0.004  0.007 -0.007], [ 0.032  0.014 -0.002  0.011 -0.002  0.008  0.023 -0.     0.   ]
[0.5 0.4 0. ], [-0.041 -0.227 -0.059], [ 0.105  0.123 -0.177  0.268], [-0.     0.    -0.    -0.66   0.    -0.181 -0.    -0.     0.   ]
[0.6 0.4 0. ], [ 0.062 -0.257 -0.063], [ 0.107  0.125 -0.188  0.293], [-0.     0.    -0.    -0.716 -0.    -0.148 -0.    -0.     0.   ]
[0.7 0.4 0. ], [ 0.164 -0.268 -0.063], [ 0.107  0.127 -0.188  0.292], [ 0.     0.     0.    -0.716 -0.    -0.122 -0.    -0.     0.   ]
[0.  0.5 0. ], [-0.569 -0.264 -0.259], [ 0.334 -0.076 -0.113  1.167], [ 0.724  0.    -0.    -3.307  0.    -0.     0.     0.     0.   ]
[0.1 0.5 0. ], [0.    0.007 0.001], [ 0.001 -0.002  0.007 -0.007], [ 0.017  0.003 -0.003  0.001 -0.    -0.    -0.003 -0.     0.   ]
[0.2 0.5 0. ], [-0.005  0.021 -0.002], [ 0.007 -0.006  0.008 -0.008], [ 0.032  0.014 -0.002  0.018 -0.001  0.007  0.027 -0.     0.   ]
[0.3 0.5 0. ], [-0.003  0.025 -0.003], [ 0.006 -0.006  0.008 -0.008], [ 0.034  0.014 -0.003  0.015 -0.001  0.008  0.025 -0.     0.   ]
[0.4 0.5 0. ], [-0.133 -0.253 -0.141], [ 0.192  0.101 -0.265  0.61 ], [ 0.429 -0.     0.    -1.829  0.    -0.042  0.     0.    -0.   ]
[0.5 0.5 0. ], [-0.012 -0.256 -0.064], [ 0.092  0.136 -0.194  0.306], [ 0.001  0.     0.    -0.747 -0.    -0.173  0.     0.    -0.   ]
[0.6 0.5 0. ], [ 0.086 -0.248 -0.062], [ 0.091  0.136 -0.188  0.293], [ 0.    -0.    -0.    -0.717 -0.    -0.15   0.     0.     0.   ]
[0.7 0.5 0. ], [ 0.186 -0.249 -0.062], [ 0.092  0.136 -0.188  0.293], [-0.    -0.    -0.    -0.716  0.    -0.123 -0.    -0.    -0.   ]
[0.  0.6 0. ], [ 0.383  0.415 -0.935], [-0.26  -0.802  0.261  0.406], [-1.308 -2.195  0.    -2.803 -0.    -2.651 -0.26   0.    -0.   ]
[0.1 0.6 0. ], [ 0.507  0.427 -0.921], [-0.273 -0.782  0.246  0.388], [-1.114 -1.922 -0.    -2.333  0.    -2.928 -0.36  -0.    -0.   ]
[0.2 0.6 0. ], [-0.345 -0.157 -0.187], [ 0.249  0.071 -0.257  0.764], [ 0.919 -0.    -0.    -2.627  0.    -0.     0.     0.    -0.   ]
[0.3 0.6 0. ], [-0.24  -0.154 -0.174], [ 0.224  0.094 -0.262  0.657], [ 0.768 -0.    -0.    -2.264 -0.    -0.     0.     0.     0.   ]
[0.4 0.6 0. ], [-0.133 -0.153 -0.142], [ 0.183  0.117 -0.253  0.531], [ 0.58   0.     0.    -1.816 -0.    -0.042  0.     0.    -0.   ]
[0.5 0.6 0. ], [-0.015 -0.155 -0.072], [ 0.094  0.142 -0.18   0.277], [ 0.186  0.    -0.    -0.869  0.    -0.157  0.     0.    -0.   ]
[0.6 0.6 0. ], [ 0.089 -0.155 -0.061], [ 0.081  0.141 -0.165  0.245], [ 0.11  -0.    -0.    -0.717  0.    -0.148  0.     0.    -0.   ]
[0.7 0.6 0. ], [ 0.188 -0.155 -0.061], [ 0.083  0.14  -0.167  0.249], [ 0.098  0.    -0.    -0.716 -0.    -0.122  0.    -0.     0.   ]
[0.  0.7 0. ], [ 0.4    0.524 -0.925], [-0.237 -0.798  0.263  0.376], [-0.853 -2.032 -0.    -2.571 -0.    -2.817  0.     0.    -0.   ]
[0.1 0.7 0. ], [ 0.509  0.528 -0.92 ], [-0.275 -0.78   0.245  0.387], [-0.713 -1.848 -0.    -2.103 -0.    -3.003 -0.156  0.    -0.   ]
[0.2 0.7 0. ], [ 0.629  0.536 -0.908], [-0.284 -0.763  0.233  0.371], [-0.308 -1.638  0.    -1.255  0.    -3.213 -0.511 -0.    -0.   ]
