Position, Position error, Orientation error, Joint error
[0.2 0.4 0. ], [ 0.04   0.202 -0.011], [ 0.096  0.107  0.131 -0.097], [-0.092  0.42  -0.    -0.     0.    -0.    -0.289  0.     0.     0.   ]
[0.3 0.4 0. ], [ 0.231  0.39  -0.03 ], [ 0.126  0.039  0.179 -0.132], [-0.065  0.78   0.    -0.    -0.274  0.    -0.2    0.     0.    -0.   ]
[0.4 0.4 0. ], [-0.079 -0.034 -0.106], [ 0.178  0.085 -0.185  0.301], [ 0.     0.438  0.    -0.    -1.179 -0.    -0.115  0.    -0.     0.   ]
[0.5 0.4 0. ], [-0.03  -0.401 -0.108], [ 0.151  0.128 -0.258  0.534], [ 0.    -0.     0.    -0.    -1.241 -0.    -0.108  0.    -0.     0.   ]
[0.6 0.4 0. ], [-0.036 -0.368 -0.097], [ 0.143  0.124 -0.249  0.482], [-0.     0.    -0.     0.    -1.129  0.    -0.124  0.     0.    -0.   ]
[0.7 0.4 0. ], [-0.057 -0.274 -0.071], [ 0.131  0.108 -0.207  0.34 ], [-0.     0.     0.     0.    -0.822  0.    -0.158  0.     0.    -0.   ]
[0.  0.5 0. ], [-0.099 -0.001 -0.017], [ 0.031  0.174 -0.04   0.067], [-0.642  0.488 -0.     0.     0.    -0.    -0.356 -0.    -0.     0.   ]
[0.1 0.5 0. ], [-0.056  0.116 -0.016], [ 0.067  0.156  0.024 -0.003], [-0.697  0.736 -0.    -0.     0.    -0.    -0.342 -0.    -0.     0.   ]
[0.2 0.5 0. ], [ 0.045  0.455 -0.18 ], [ 0.239 -0.071 -0.14   0.237], [-0.     1.388 -0.    -0.    -1.989  0.     0.     0.    -0.     0.   ]
[0.3 0.5 0. ], [-0.156  0.147 -0.166], [ 0.236  0.034 -0.21   0.388], [ 0.     0.92   0.     0.    -1.861 -0.    -0.018 -0.    -0.     0.   ]
[0.4 0.5 0. ], [-0.138 -0.17  -0.151], [ 0.204  0.1   -0.25   0.528], [-0.     0.496 -0.     0.    -1.733  0.    -0.04  -0.     0.    -0.   ]
[0.5 0.5 0. ], [ 0.007 -0.444 -0.133], [ 0.16   0.143 -0.269  0.656], [ 0.     0.065  0.    -0.    -1.562 -0.    -0.067 -0.    -0.     0.   ]
[0.6 0.5 0. ], [ 0.02  -0.426 -0.111], [ 0.139  0.142 -0.264  0.576], [ 0.    -0.     0.    -0.    -1.328 -0.    -0.099 -0.    -0.     0.   ]
[0.7 0.5 0. ], [-0.021 -0.32  -0.08 ], [ 0.122  0.127 -0.229  0.403], [ 0.    -0.     0.    -0.    -0.96  -0.    -0.145 -0.    -0.     0.   ]
[0.  0.6 0. ], [-0.045  0.405 -0.586], [-0.22  -0.767  0.212  1.05 ], [ 0.    -0.    -1.145 -0.    -0.     0.    -3.707 -1.457 -0.     0.   ]
[0.1 0.6 0. ], [-0.436 -0.332 -0.275], [ 0.346  0.084 -0.184  0.989], [-0.     0.884 -0.    -0.    -3.073  0.     0.    -0.    -0.    -0.   ]
[0.2 0.6 0. ], [-0.349 -0.209 -0.216], [ 0.278  0.088 -0.245  0.802], [ 0.     0.874  0.    -0.    -2.666 -0.    -0.     0.    -0.     0.   ]
[0.3 0.6 0. ], [-0.228 -0.279 -0.196], [ 0.241  0.117 -0.255  0.765], [-0.     0.66  -0.     0.    -2.382  0.     0.    -0.    -0.    -0.   ]
[0.4 0.6 0. ], [-0.083 -0.391 -0.173], [ 0.198  0.139 -0.261  0.772], [-0.     0.376 -0.    -0.    -2.115  0.     0.    -0.     0.    -0.   ]
[0.5 0.6 0. ], [ 0.095 -0.522 -0.15 ], [ 0.153  0.164 -0.263  0.801], [-0.     0.037 -0.    -0.    -1.834  0.    -0.034  0.     0.    -0.   ]
[0.6 0.6 0. ], [ 0.083 -0.469 -0.123], [ 0.132  0.158 -0.271  0.666], [ 0.    -0.     0.    -0.    -1.513 -0.    -0.077 -0.    -0.     0.   ]
[0.7 0.6 0. ], [ 0.028 -0.356 -0.088], [ 0.112  0.142 -0.245  0.462], [ 0.    -0.     0.     0.    -1.085 -0.    -0.131 -0.    -0.     0.   ]
[0.  0.7 0. ], [ 0.785  0.114 -0.897], [-0.597 -0.535  0.435  0.175], [-0.    -0.118 -1.768 -0.    -2.136  0.    -3.083 -0.43  -0.     0.   ]
[0.1 0.7 0. ], [ 0.225  0.565 -0.837], [-0.124 -0.825  0.156  0.697], [-0.     0.    -1.333 -0.    -0.     0.    -3.52  -1.066 -0.     0.   ]
[0.2 0.7 0. ], [ 0.165 -0.747 -0.316], [-0.352 -0.186  1.194 -0.07 ], [-0.     0.029  0.    -0.001 -3.234  0.    -0.     0.379 -0.     0.   ]
[0.3 0.7 0. ], [ 0.067 -0.617 -0.205], [ 0.205  0.19  -0.152  1.137], [-0.     0.248 -0.     0.    -2.763  0.     0.     0.     0.    -0.   ]
[0.4 0.7 0. ], [ 0.132 -0.58  -0.182], [ 0.17   0.187 -0.209  1.019], [-0.     0.139 -0.    -0.    -2.392  0.     0.    -0.     0.    -0.   ]
[0.5 0.7 0. ], [ 0.197 -0.564 -0.158], [ 0.138  0.18  -0.244  0.918], [-0.     0.    -0.    -0.    -2.039  0.    -0.013 -0.     0.    -0.   ]
[0.6 0.7 0. ], [ 0.147 -0.49  -0.13 ], [ 0.121  0.171 -0.271  0.736], [-0.     0.    -0.     0.    -1.656  0.    -0.062  0.     0.    -0.   ]
[0.7 0.7 0. ], [ 0.075 -0.373 -0.092], [ 0.1    0.153 -0.254  0.5  ], [ 0.    -0.     0.     0.    -1.165  0.    -0.122  0.     0.     0.   ]
[0.  0.8 0. ], [ 0.688  0.436 -0.902], [-0.474 -0.653  0.333  0.249], [ 0.     0.    -1.745  0.    -1.949  0.    -3.106 -0.077 -0.     0.   ]
[0.1 0.8 0. ], [ 0.663  0.584 -0.896], [-0.338 -0.725  0.246  0.324], [ 0.     0.    -1.62  -0.    -1.235 -0.    -3.232 -0.352  0.    -0.   ]
[0.2 0.8 0. ], [ 0.233  0.669 -0.898], [-0.005 -0.823  0.148  0.606], [ 0.    -0.    -1.409 -0.     0.    -0.    -3.444 -0.708 -0.     0.   ]
[0.3 0.8 0. ], [ 0.095 -0.674 -0.244], [-0.252 -0.202  1.458  0.131], [ 0.135 -0.    -0.     0.    -3.022 -0.    -0.     0.     0.    -0.   ]
