Position, Position error, Orientation error, Joint error
[0.3 1.2 0. ], [0.014 0.015 0.   ], [-0.     0.003  0.    -0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 1.2 0. ], [0.063 0.053 0.001], [0.001 0.011 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 1.2 0. ], [0.127 0.091 0.001], [0.004 0.021 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 1.2 0. ], [0.198 0.123 0.001], [0.007 0.031 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.2 0. ], [0.071 0.039 0.001], [0.003 0.011 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  1.3 0. ], [0.    0.001 0.   ], [-0.  0. -0.  0.], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 1.3 0. ], [0.003 0.006 0.   ], [-0.     0.001 -0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 1.3 0. ], [0.017 0.026 0.   ], [-0.001  0.004  0.    -0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 1.3 0. ], [0.053 0.063 0.001], [-0.001  0.011  0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 1.3 0. ], [0.102 0.102 0.001], [-0.    0.02  0.    0.  ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 1.3 0. ], [0.162 0.139 0.001], [0.002 0.029 0.    0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 1.3 0. ], [0.228 0.171 0.001], [0.006 0.039 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.3 0. ], [0.301 0.201 0.002], [0.01  0.049 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.  1.4 0. ], [0.01  0.035 0.   ], [-0.002  0.004  0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.1 1.4 0. ], [0.026 0.059 0.001], [-0.003  0.008  0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.2 1.4 0. ], [0.053 0.092 0.001], [-0.004  0.014  0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.3 1.4 0. ], [0.09  0.127 0.001], [-0.004  0.021  0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.4 1.4 0. ], [0.139 0.162 0.001], [-0.002  0.029  0.     0.   ], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.5 1.4 0. ], [0.195 0.195 0.001], [-0.     0.038  0.001  0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.6 1.4 0. ], [0.259 0.227 0.002], [0.003 0.047 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.4 0. ], [0.328 0.255 0.002], [0.007 0.057 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
[0.7 1.4 0. ], [0.328 0.255 0.002], [0.007 0.057 0.001 0.001], [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
